"year","mm-dd","location","parameter","unit","datatype","value"
2023,"2-12","FPT","flow","CFS","Flow",19929
2023,"2-13","FPT","flow","CFS","Flow",19416.917
2023,"2-14","FPT","flow","CFS","Flow",19169.667
2023,"2-15","FPT","flow","CFS","Flow",18481.083
2023,"2-16","FPT","flow","CFS","Flow",17907.542
2023,"2-17","FPT","flow","CFS","Flow",17492.25
2023,"2-18","FPT","flow","CFS","Flow",17086
2023,"2-19","FPT","flow","CFS","Flow",16744.708
2023,"2-20","FPT","flow","CFS","Flow",16481.833
2023,"2-21","FPT","flow","CFS","Flow",15402.917
2023,"2-22","FPT","flow","CFS","Flow",15769.25
2023,"2-23","FPT","flow","CFS","Flow",15433.958
2023,"2-24","FPT","flow","CFS","Flow",15848.167
2023,"2-25","FPT","flow","CFS","Flow",17111.75
2023,"2-26","FPT","flow","CFS","Flow",17958.75
2023,"2-27","FPT","flow","CFS","Flow",20568.167
2023,"2-28","FPT","flow","CFS","Flow",24646.75
2023,"2-29","FPT","flow","CFS","Flow",NA
2023,"3-1","FPT","flow","CFS","Flow",31760.375
2023,"3-2","FPT","flow","CFS","Flow",34878.917
2023,"3-3","FPT","flow","CFS","Flow",32791.333
2023,"3-4","FPT","flow","CFS","Flow",29174.417
2023,"3-5","FPT","flow","CFS","Flow",27004.75
2023,"3-6","FPT","flow","CFS","Flow",25812.917
2023,"3-7","FPT","flow","CFS","Flow",23389.583
2023,"3-8","FPT","flow","CFS","Flow",24661.542
2023,"3-9","FPT","flow","CFS","Flow",27269.917
2023,"3-10","FPT","flow","CFS","Flow",44876.958
2023,"3-11","FPT","flow","CFS","Flow",66790.292
2023,"3-12","FPT","flow","CFS","Flow",74968
2023,"3-13","FPT","flow","CFS","Flow",81232.333
2023,"3-14","FPT","flow","CFS","Flow",83590.625
2023,"3-15","FPT","flow","CFS","Flow",85562.792
2023,"3-16","FPT","flow","CFS","Flow",80976.75
2023,"3-17","FPT","flow","CFS","Flow",79720.292
2023,"3-18","FPT","flow","CFS","Flow",77458.958
2023,"3-19","FPT","flow","CFS","Flow",77123.542
2023,"3-20","FPT","flow","CFS","Flow",76641.042
2023,"3-21","FPT","flow","CFS","Flow",74392.542
2023,"3-22","FPT","flow","CFS","Flow",73347.042
2023,"3-23","FPT","flow","CFS","Flow",70685.917
2023,"3-24","FPT","flow","CFS","Flow",67922.25
2023,"3-25","FPT","flow","CFS","Flow",66034.792
2023,"3-26","FPT","flow","CFS","Flow",65078.458
2023,"3-27","FPT","flow","CFS","Flow",63696.625
2023,"3-28","FPT","flow","CFS","Flow",61211.25
2023,"3-29","FPT","flow","CFS","Flow",60555.125
2023,"3-30","FPT","flow","CFS","Flow",63097.875
2023,"3-31","FPT","flow","CFS","Flow",65760.792
2023,"4-1","FPT","flow","CFS","Flow",66690.667
2023,"4-2","FPT","flow","CFS","Flow",63745.917
2023,"4-3","FPT","flow","CFS","Flow",57855.167
2023,"4-4","FPT","flow","CFS","Flow",53481.042
2023,"4-5","FPT","flow","CFS","Flow",50010.958
2023,"4-6","FPT","flow","CFS","Flow",46766.458
2023,"4-7","FPT","flow","CFS","Flow",43635.833
2023,"4-8","FPT","flow","CFS","Flow",41468.625
2023,"4-9","FPT","flow","CFS","Flow",40498.333
2023,"4-10","FPT","flow","CFS","Flow",41079.208
2023,"4-11","FPT","flow","CFS","Flow",40716.583
2023,"4-12","FPT","flow","CFS","Flow",40487.625
2023,"4-13","FPT","flow","CFS","Flow",41848.75
2023,"4-14","FPT","flow","CFS","Flow",42667.625
2023,"4-15","FPT","flow","CFS","Flow",42440
2023,"4-16","FPT","flow","CFS","Flow",42293.083
2023,"4-17","FPT","flow","CFS","Flow",43582.458
2023,"4-18","FPT","flow","CFS","Flow",44187.5
2023,"4-19","FPT","flow","CFS","Flow",44150.375
2023,"4-20","FPT","flow","CFS","Flow",43758.5
2023,"4-21","FPT","flow","CFS","Flow",42831.333
2023,"4-22","FPT","flow","CFS","Flow",41771.083
2023,"4-23","FPT","flow","CFS","Flow",41443.292
2023,"4-24","FPT","flow","CFS","Flow",41905.875
2023,"4-25","FPT","flow","CFS","Flow",42958.083
2023,"4-26","FPT","flow","CFS","Flow",43967.25
2023,"4-27","FPT","flow","CFS","Flow",44968.56
2023,"4-28","FPT","flow","CFS","Flow",46788.875
2023,"4-29","FPT","flow","CFS","Flow",48419.5
2023,"4-30","FPT","flow","CFS","Flow",49760.333
2023,"5-1","FPT","flow","CFS","Flow",50797.875
2023,"5-2","FPT","flow","CFS","Flow",51585.292
2023,"5-3","FPT","flow","CFS","Flow",51695.125
2023,"5-4","FPT","flow","CFS","Flow",48273.083
2023,"5-5","FPT","flow","CFS","Flow",44499.958
2023,"5-6","FPT","flow","CFS","Flow",41752.875
2023,"5-7","FPT","flow","CFS","Flow",40345.542
2023,"5-8","FPT","flow","CFS","Flow",40335.125
2023,"5-9","FPT","flow","CFS","Flow",41539.25
2023,"5-10","FPT","flow","CFS","Flow",41098.042
2023,"5-11","FPT","flow","CFS","Flow",40421.542
2023,"5-12","FPT","flow","CFS","Flow",39338.667
2023,"5-13","FPT","flow","CFS","Flow",37612.333
2023,"5-14","FPT","flow","CFS","Flow",38389.792
2023,"5-15","FPT","flow","CFS","Flow",41286.917
2023,"5-16","FPT","flow","CFS","Flow",44841.542
2023,"5-17","FPT","flow","CFS","Flow",47776.708
2023,"5-18","FPT","flow","CFS","Flow",49943.292
2023,"5-19","FPT","flow","CFS","Flow",50937.708
2023,"5-20","FPT","flow","CFS","Flow",50953.208
2023,"5-21","FPT","flow","CFS","Flow",50549.292
2023,"5-22","FPT","flow","CFS","Flow",50553.375
2023,"5-23","FPT","flow","CFS","Flow",52203.375
2023,"5-24","FPT","flow","CFS","Flow",53697.667
2023,"5-25","FPT","flow","CFS","Flow",53325.292
2023,"5-26","FPT","flow","CFS","Flow",51293.583
2023,"5-27","FPT","flow","CFS","Flow",49976.833
2023,"5-28","FPT","flow","CFS","Flow",47902.583
2023,"5-29","FPT","flow","CFS","Flow",45642.625
2023,"5-30","FPT","flow","CFS","Flow",44703.667
2023,"5-31","FPT","flow","CFS","Flow",43732.042
2023,"6-1","FPT","flow","CFS","Flow",40990.542
2023,"6-2","FPT","flow","CFS","Flow",36499.667
2023,"6-3","FPT","flow","CFS","Flow",32407.042
2023,"6-4","FPT","flow","CFS","Flow",30723.208
2023,"6-5","FPT","flow","CFS","Flow",30495.917
2023,"6-6","FPT","flow","CFS","Flow",31088.042
2023,"6-7","FPT","flow","CFS","Flow",33699.167
2023,"6-8","FPT","flow","CFS","Flow",35820.417
2023,"6-9","FPT","flow","CFS","Flow",35248.083
2023,"6-10","FPT","flow","CFS","Flow",34612.5
2023,"6-11","FPT","flow","CFS","Flow",32931.333
2023,"6-12","FPT","flow","CFS","Flow",32362.208
2023,"6-13","FPT","flow","CFS","Flow",32124.042
2023,"6-14","FPT","flow","CFS","Flow",30948.167
2023,"6-15","FPT","flow","CFS","Flow",28665.083
2023,"6-16","FPT","flow","CFS","Flow",26736.333
2023,"6-17","FPT","flow","CFS","Flow",23638.792
2023,"6-18","FPT","flow","CFS","Flow",20465.333
2023,"6-19","FPT","flow","CFS","Flow",19109.083
2023,"6-20","FPT","flow","CFS","Flow",18519.458
2023,"6-21","FPT","flow","CFS","Flow",17549.792
2023,"6-22","FPT","flow","CFS","Flow",16684.208
2023,"6-23","FPT","flow","CFS","Flow",16761.375
2023,"6-24","FPT","flow","CFS","Flow",16152.625
2023,"6-25","FPT","flow","CFS","Flow",15511.042
2023,"6-26","FPT","flow","CFS","Flow",15436.75
2023,"6-27","FPT","flow","CFS","Flow",14886.625
2023,"6-28","FPT","flow","CFS","Flow",13939.458
2023,"6-29","FPT","flow","CFS","Flow",13633.333
2023,"6-30","FPT","flow","CFS","Flow",12885.708
2023,"7-1","FPT","flow","CFS","Flow",13026.583
2023,"7-2","FPT","flow","CFS","Flow",12146.375
2023,"7-3","FPT","flow","CFS","Flow",11886.667
2023,"7-4","FPT","flow","CFS","Flow",11663.875
2023,"7-5","FPT","flow","CFS","Flow",11598.708
2023,"7-6","FPT","flow","CFS","Flow",11718.042
2023,"7-7","FPT","flow","CFS","Flow",11623.792
2023,"7-8","FPT","flow","CFS","Flow",11619.333
2023,"7-9","FPT","flow","CFS","Flow",12188.042
