"year","mm-dd","location","parameter","unit","datatype","value"
2023,"4-23","VNS","flow","CFS","Flow",29766.92
2023,"4-24","VNS","flow","CFS","Flow",29817.92
2023,"4-25","VNS","flow","CFS","Flow",29763.6
2023,"4-26","VNS","flow","CFS","Flow",29593.04
2023,"4-27","VNS","flow","CFS","Flow",29398.36
2023,"4-28","VNS","flow","CFS","Flow",29367.08
2023,"4-29","VNS","flow","CFS","Flow",29363.04
2023,"4-30","VNS","flow","CFS","Flow",29309.24
2023,"5-1","VNS","flow","CFS","Flow",28948.8
2023,"5-2","VNS","flow","CFS","Flow",28603.32
2023,"5-3","VNS","flow","CFS","Flow",28408.6
2023,"5-4","VNS","flow","CFS","Flow",28007.76
2023,"5-5","VNS","flow","CFS","Flow",27814.16
2023,"5-6","VNS","flow","CFS","Flow",28003.4
2023,"5-7","VNS","flow","CFS","Flow",28389.76
2023,"5-8","VNS","flow","CFS","Flow",28790
2023,"5-9","VNS","flow","CFS","Flow",28852.68
2023,"5-10","VNS","flow","CFS","Flow",28717.8
2023,"5-11","VNS","flow","CFS","Flow",28405.64
2023,"5-12","VNS","flow","CFS","Flow",27747.12
2023,"5-13","VNS","flow","CFS","Flow",26627.08
2023,"5-14","VNS","flow","CFS","Flow",25941.36
2023,"5-15","VNS","flow","CFS","Flow",25269.48
2023,"5-16","VNS","flow","CFS","Flow",24542.76
2023,"5-17","VNS","flow","CFS","Flow",23956.4
2023,"5-18","VNS","flow","CFS","Flow",23567.16
2023,"5-19","VNS","flow","CFS","Flow",23597.72
2023,"5-20","VNS","flow","CFS","Flow",24267.16
2023,"5-21","VNS","flow","CFS","Flow",25398.5
2023,"5-22","VNS","flow","CFS","Flow",26107.16
2023,"5-23","VNS","flow","CFS","Flow",26377.083
2023,"5-24","VNS","flow","CFS","Flow",26531.12
2023,"5-25","VNS","flow","CFS","Flow",26739.833
2023,"5-26","VNS","flow","CFS","Flow",27020.28
2023,"5-27","VNS","flow","CFS","Flow",27305.44
2023,"5-28","VNS","flow","CFS","Flow",27463
2023,"5-29","VNS","flow","CFS","Flow",27619.96
2023,"5-30","VNS","flow","CFS","Flow",27576.32
2023,"5-31","VNS","flow","CFS","Flow",27574.24
2023,"6-1","VNS","flow","CFS","Flow",27653.24
2023,"6-2","VNS","flow","CFS","Flow",27613.72
2023,"6-3","VNS","flow","CFS","Flow",27302.36
2023,"6-4","VNS","flow","CFS","Flow",27095.625
2023,"6-5","VNS","flow","CFS","Flow",27086.68
2023,"6-6","VNS","flow","CFS","Flow",27011.76
2023,"6-7","VNS","flow","CFS","Flow",26922.64
2023,"6-8","VNS","flow","CFS","Flow",26705.72
2023,"6-9","VNS","flow","CFS","Flow",26316.68
2023,"6-10","VNS","flow","CFS","Flow",25897.32
2023,"6-11","VNS","flow","CFS","Flow",25628.2
2023,"6-12","VNS","flow","CFS","Flow",25259.52
2023,"6-13","VNS","flow","CFS","Flow",24886.8
2023,"6-14","VNS","flow","CFS","Flow",24599.28
2023,"6-15","VNS","flow","CFS","Flow",24040.12
2023,"6-16","VNS","flow","CFS","Flow",23179.92
2023,"6-17","VNS","flow","CFS","Flow",22494.52
2023,"6-18","VNS","flow","CFS","Flow",21858.6
2023,"6-19","VNS","flow","CFS","Flow",21235.52
2023,"6-20","VNS","flow","CFS","Flow",20588.68
2023,"6-21","VNS","flow","CFS","Flow",19967.76
2023,"6-22","VNS","flow","CFS","Flow",19247.92
2023,"6-23","VNS","flow","CFS","Flow",17947.08
2023,"6-24","VNS","flow","CFS","Flow",15213.32
2023,"6-25","VNS","flow","CFS","Flow",14009.6
2023,"6-26","VNS","flow","CFS","Flow",13102.68
2023,"6-27","VNS","flow","CFS","Flow",12247.52
2023,"6-28","VNS","flow","CFS","Flow",11266.92
2023,"6-29","VNS","flow","CFS","Flow",10428.24
2023,"6-30","VNS","flow","CFS","Flow",9795.6
2023,"7-1","VNS","flow","CFS","Flow",9101.52
2023,"7-2","VNS","flow","CFS","Flow",8746.56
2023,"7-3","VNS","flow","CFS","Flow",8676.32
2023,"7-4","VNS","flow","CFS","Flow",8632.4
2023,"7-5","VNS","flow","CFS","Flow",8721.6
2023,"7-6","VNS","flow","CFS","Flow",8996.125
2023,"7-7","VNS","flow","CFS","Flow",9078.8
2023,"7-8","VNS","flow","CFS","Flow",8804.96
2023,"7-9","VNS","flow","CFS","Flow",8266.24
2023,"7-10","VNS","flow","CFS","Flow",7799.96
2023,"7-11","VNS","flow","CFS","Flow",7637.68
2023,"7-12","VNS","flow","CFS","Flow",7639.8
